number,value,state,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_min_gain_to_split,params_num_leaves
83,1531.8731817011578,PRUNED,0.9275323578259635,4,0.6594472517855691,0.1294199992985607,5.391592564781896e-06,0.07965072874962244,16,118,2.458900638664269,214
84,0.13072824468502842,COMPLETE,0.922376017452695,7,0.6894808727392232,0.21473864889570474,8.878013577461479e-05,0.11281221190446668,16,481,1.7991327614557524,370
85,0.12561469942962475,COMPLETE,0.8592888110977349,5,0.6181169419577119,0.06048569882959594,7.360956856230305e-06,0.09829440180361979,13,145,2.672611301389262,440
86,0.12907260025364473,COMPLETE,0.7702117152111874,3,0.9155228887330276,0.5791621706769565,0.0691397427444988,0.10622000903275705,14,285,3.1776024277402195,288
87,0.12634928171508472,COMPLETE,0.8730737314241965,4,0.6015572415082733,2.262808182597055,4.905982652310688e-07,0.14944106001241647,13,64,0.6625701832634145,329
88,0.1258780878607742,COMPLETE,0.8345932151134393,3,0.677339787857455,4.457462258223903,3.7908027258851316e-07,0.10176052147529709,12,189,0.08276777215391073,342
89,1007.0116383195331,PRUNED,0.7461833163997939,2,0.7499692959379074,1.9934069731454365,1.267255398044052e-05,0.13899635244818112,10,639,0.5440020364543526,364
90,1948.2483204056691,PRUNED,0.842164997476289,1,0.667735012673431,0.030575561453965706,3.077474945860476e-08,0.04542619824688387,11,173,0.30178744288233605,489
91,0.12471609744941282,COMPLETE,0.882319535439581,6,0.624561212526849,4.486678743556732,5.497271121762256e-07,0.10538395938842463,15,90,0.337220751419015,222
92,0.12992558188431447,COMPLETE,0.7094993692218126,5,0.6654669936167694,9.02537297290249,0.000708404943054184,0.13539400045425243,16,150,2.2939495115146458,378
93,1554.1259587839252,PRUNED,0.805714837715202,3,0.7540891247338202,5.392179497770985,2.2537123819004558e-07,0.07929174636305532,8,121,0.0011501074857574178,351
94,2114.6475151581617,PRUNED,0.9421820793079079,7,0.6966645896545387,1.9600709719043183,6.7935596066995e-08,0.035951390721964065,10,243,0.4638727374676613,324
95,972.1280715185183,PRUNED,0.8805691360585746,6,0.669470045204495,5.057150667272419,1.2360591915344552e-07,0.11563608556919759,16,279,0.3132421485089246,238
96,0.12733269948232936,COMPLETE,0.860004389093847,6,0.6705930589059728,0.32298519585940866,1.0401579609343228e-05,0.11413001935806916,12,80,2.701460772437659,395
97,1017.1667282722021,PRUNED,0.9689628715681784,3,0.7217867311700137,0.5556562944495818,4.661421270471075e-08,0.12387535549090545,12,761,0.0515366518269533,402
98,1818.1956968647369,PRUNED,0.8548268530863056,4,0.6565868910322339,0.3062147792043335,3.203763008060642e-06,0.05390503903267381,16,181,2.3832838013613777,452
99,1373.7871783235332,PRUNED,0.9390108912579286,6,0.6085967669072645,7.510392206517363,2.0239867298468585e-05,0.1005851739501083,13,546,0.4339874305097444,257
100,1680.4273201686078,PRUNED,0.854960055281795,2,0.7217174283216069,1.959210989887777,3.7870164388575366e-08,0.06536674636186607,15,182,0.9921522136853242,263
101,1738.4054534820814,PRUNED,0.8882915819282644,2,0.6056796515488284,1.6049802202057606,3.0308597074253593e-05,0.06144492189182345,11,74,0.5848777818331907,271
102,2548.377170395429,PRUNED,0.628903175121105,5,0.9211050594441869,0.0001056090916305986,7.99541001777316,0.014753888750881673,14,445,3.5860258439098507,386
103,1023.7295302152705,PRUNED,0.9627662250102597,4,0.6233173411882242,7.6492647006794785,2.023532886928373e-05,0.11843436876788815,12,670,3.171566201889175,433
104,2261.9526114152955,PRUNED,0.8915877947147199,5,0.6979507091668182,0.9722571568705455,3.8403208479701255e-07,0.029099941242075385,16,77,0.21862046291923576,69
105,0.12613089138382652,COMPLETE,0.8675474778440418,4,0.6082957425551245,0.34256076063026364,3.6024004730769393e-06,0.12156172541578035,16,59,0.4897519514114863,317
106,1548.232607737155,PRUNED,0.8439021952904286,7,0.6558190339905418,0.0006722724445485052,5.646125626718535e-08,0.07830469619559151,15,399,1.3627054038555557,196
107,1895.704832703373,PRUNED,0.8301255053610863,3,0.6130252543531864,1.1294114176362124,4.404119133061568e-05,0.049622626335481104,16,507,0.9811856601627071,210
108,1892.6746089660876,PRUNED,0.6094263643610908,3,0.9420700904664014,0.001661283531102504,6.746832007104284,0.04980837140013082,15,544,1.8385953328811533,373
109,1466.6488243090184,PRUNED,0.8366680129681073,5,0.6083694967135007,0.04312674393193459,6.753280804479919e-06,0.0868949766304386,13,649,1.642095302791903,439
110,981.566525779343,PRUNED,0.8996891370636741,6,0.6121387087032188,1.1076910127623008,0.024656371238641797,0.1338438342182858,15,373,3.1571233057573935,253
111,1360.6197528804769,PRUNED,0.7069677337851318,0,0.8961908283470464,0.07890357116565773,0.02815196741447423,0.10057094695539158,16,426,3.6553141651298366,199
112,1866.4778210285956,PRUNED,0.8644457187894298,5,0.6417525236913761,0.00036911286737354777,1.5501077647148492e-07,0.05108418608132413,12,53,0.30670895898884176,281
113,0.12449635421313662,COMPLETE,0.8748393381286056,4,0.6171237837953893,0.30662878704834634,2.8133459072470034e-07,0.10626174382563269,15,134,1.0110394223642807,341
114,1834.6230789313004,PRUNED,0.6744108246835576,4,0.9045015941197314,0.31293063873390076,6.6213063069138,0.0537183170657757,14,379,4.3862862602195625,207
115,1704.7896561937653,PRUNED,0.9462787385147716,2,0.6416596102732033,0.04592633296445684,9.997102225931895e-05,0.06258163935626682,15,368,0.674453430659602,407
116,1066.9124516572033,PRUNED,0.7316385252458836,5,0.9838538427897199,8.546250791913838,0.17999458230106255,0.12168776816785604,16,372,1.8685701921633409,105
117,0.1269265543558519,COMPLETE,0.8656704691459209,4,0.7467962202383444,0.012824125596484449,1.1410318761795657e-07,0.12729747166261937,16,194,1.275572773721764,307
118,1881.0446516604948,PRUNED,0.8056277472116044,7,0.6373837461258509,7.165631673815903,9.097861364554101e-08,0.05075390709453149,14,254,1.8287505555652888,194
119,1866.0499033858966,PRUNED,0.6231605495404411,5,0.9440886938604535,0.22000904591362885,0.010115781419690223,0.05176124957365754,16,553,1.8660924667197842,225
120,0.12335122950973282,COMPLETE,0.8254589187028383,5,0.9738322061523614,5.431003540251805,3.2711256487247518,0.10620242570978564,16,94,3.3735470513594623,277
121,1388.3745845601313,PRUNED,0.8382223332474245,4,0.9285380008808297,5.270874209949092,0.1740308447284468,0.09525248217317003,16,199,3.5915858624054975,243
122,1376.8447038998154,PRUNED,0.6883250090859229,5,0.9487050563958482,0.18449001543135465,0.012207596707936124,0.09503239301649558,16,104,3.801784118985146,401
123,1354.0967710497048,PRUNED,0.8141569613363904,3,0.6290145333461118,8.555400086281544,0.0004963872357950896,0.09940974702039998,16,243,0.9709329801284259,397
124,1335.8678596083253,PRUNED,0.9803921066040886,4,0.6573999754125898,0.052761727557327956,4.558738032013391e-08,0.10301146323378274,10,145,3.0555804715549044,488
125,1671.508799522015,PRUNED,0.874066234339119,6,0.9843723311031475,0.0026993505173577717,0.04227402328501782,0.06581914044236858,15,298,3.5112656007686054,303
126,987.5289213535493,PRUNED,0.958788234366931,4,0.6124992028364256,1.303652914552324,1.39709973624981e-08,0.14944622621833273,15,637,1.8293463194080914,294
127,1652.585031870083,PRUNED,0.9244747927098952,4,0.6488570411321546,0.3522759256615641,1.0901144843451086e-05,0.06779052571885844,15,85,0.11212374445024248,256
128,2116.959087762386,PRUNED,0.8070342575824047,3,0.9783647411861693,3.4453627173231767,0.42555305404509736,0.03619163874847224,15,70,2.490365878828037,162
129,1514.4410605435014,PRUNED,0.8215605828133546,3,0.6478546868660585,1.231239979429335,1.3395012374648445e-07,0.08025725249347081,12,223,0.11678869586483076,356
130,1749.6974721966224,PRUNED,0.8158879494659106,6,0.9929068566606709,1.6776284015487983,3.349364984136834,0.059709589229837434,15,596,3.982834030012519,466
131,1840.8526926410718,PRUNED,0.8975173008590044,3,0.6071923446672732,5.489666402009823,7.312929195836342e-07,0.0533600083077651,12,180,2.6904474571569637,353
132,957.8312075041682,PRUNED,0.8521824477901944,5,0.6359082532273441,0.9264453497939555,7.259915566710925e-07,0.14914664577125572,13,305,1.5852681190410447,397
133,0.12629567632216895,COMPLETE,0.8180300096962687,4,0.6165644482430692,0.07944468932184529,1.2918946236371081e-05,0.11766568976921007,14,87,1.1967887127679862,282
134,1998.6936432797245,PRUNED,0.6505414594618806,1,0.810633587270988,1.6460204568783898,1.5998105412724416e-05,0.0429573526327056,14,914,4.560377365119634,325
135,951.4302167121061,PRUNED,0.841812433117267,4,0.6181597228950243,0.05214616567897835,4.413182911539168e-05,0.12165227222954697,15,292,0.1597347336681405,313
136,1924.8678572845693,PRUNED,0.7692531113122042,4,0.989248608324123,0.4809615786400329,0.04305363569663499,0.046693885023819395,16,197,2.4594241390456757,342
137,0.12637431057293694,COMPLETE,0.8991439230872338,3,0.6148270467539677,0.3024524321310935,9.185534111184382e-07,0.11405653860956338,13,79,3.577138227294812,456
138,1391.4796906897009,PRUNED,0.7460424907674706,5,0.6804379675927916,0.8883909182785208,3.598872304082645e-05,0.09846975275264996,14,406,0.10794069435861384,148
139,1771.0814569535785,PRUNED,0.7943050713627245,3,0.6019617973419994,0.0037897486970124407,2.892040526653467e-07,0.05872228174661167,16,241,0.23606852975155007,302
140,0.12794565144554765,COMPLETE,0.6169120237603872,4,0.9577175166433376,0.0009033626436045852,0.008875433209789835,0.11911461665946269,15,126,1.9827101100345081,324
141,981.7252520859489,PRUNED,0.8956845922002401,2,0.6021475907243248,1.8209527349763635,4.458749356764095e-08,0.11500011556678341,13,168,0.4761903341391336,300
142,986.7209429547273,PRUNED,0.7906075184342881,4,0.6006373436981435,0.24449269270507762,1.2041476469983368e-06,0.12458605975906104,14,354,1.6077605699270623,344
143,2031.3976681001793,PRUNED,0.7854789096571232,4,0.6339014787484412,0.05406095018147333,2.5779203690647667e-05,0.04061299332679616,12,145,1.414965736322541,281
144,1351.9995075517725,PRUNED,0.8429801718648475,5,0.6654371025288738,0.012830488340009398,0.00043866028603677045,0.10062113267748515,14,446,3.2304747511133773,411
145,1011.9477884742896,PRUNED,0.9670694835809319,5,0.6097096380771632,0.0042901535524418905,1.6703778285955066e-07,0.13612230653989502,16,304,0.48583683436788494,140
