Store,n,rmspe_lgbm,rmse_lgbm,mape_lgbm,mean_true
834,36.0,0.1251356113517078,645.6199941831179,9.22611106334699,5928.944444444444
407,36.0,0.1249599187241273,544.283045602096,10.300016908978757,4287.583333333333
642,36.0,0.1248803914680469,350.2647074471744,9.621462216889109,3202.027777777778
210,36.0,0.1248505745397214,331.72023769924607,9.76613122545743,3016.1666666666665
113,36.0,0.1247985612459527,675.3629867976881,9.209606211208838,5813.583333333333
120,36.0,0.1247880615642098,847.682899407058,10.216267095378468,7171.888888888889
1110,36.0,0.1247840689696189,540.5062068586228,9.413604334115853,4429.444444444444
384,36.0,0.1247695305050727,1099.7011856977583,9.186762148415628,9179.111111111111
1086,36.0,0.1247643164052979,565.3693711180099,8.77187593856603,5857.194444444444
1082,36.0,0.1247476177103896,688.7587697718867,9.601927834382511,6518.638888888889
536,36.0,0.1246752543910513,907.8376725356876,8.916323633530638,8063.0
1051,36.0,0.124496070995977,903.9146480419964,8.899850198119697,8032.777777777777
444,36.0,0.1244052724121894,1403.8798204293248,10.14540406648607,11744.888888888889
219,36.0,0.124385132978011,383.6210177241946,10.225333815368373,3065.277777777778
879,36.0,0.1243512561462742,466.7042619551912,9.389484304875378,4106.861111111111
663,36.0,0.1242586577694851,861.0530632302253,9.183512809949196,6185.694444444444
248,36.0,0.1242172604448876,913.0010159424462,8.567776274881853,7990.305555555556
28,36.0,0.124174554290117,440.67142215152097,9.000488497628718,4606.861111111111
412,36.0,0.1241020740875476,1094.8413440224087,9.674910854072442,9544.972222222224
212,36.0,0.1240844197235974,550.5941578624562,9.237492494397332,4576.972222222223
225,36.0,0.124056778543141,608.6366816566243,10.604002766357713,5466.777777777777
1029,36.0,0.1239183169191067,500.0759149461269,9.743335858500291,5202.138888888889
305,36.0,0.1237344653098192,746.8347620604443,10.04149868770386,6218.027777777777
366,36.0,0.1236716867603684,608.607030995501,9.80955577397277,5975.638888888889
43,36.0,0.1236642184302212,752.1646894883065,8.879379969173389,6301.25
580,36.0,0.1236420267224192,1091.3339953925251,8.54888887719329,9712.5
327,36.0,0.1234449398916009,826.5961497248456,8.322320344918843,7774.722222222223
