Store,rmspe_lgbm,rmspe_prophet,rmse_lgbm,rmse_prophet,mape_lgbm,mape_prophet,winner
735,0.0822621846798318,0.1533219884017157,409.5652168517534,749.7551683639285,6.808003084097562,11.479104004093472,lgbm
148,0.0822944863091781,0.0918891486754926,707.9718981226833,780.4134037680096,6.273782034372085,7.380322825491933,lgbm
494,0.0824634372740345,0.0948844401847595,558.0177028535111,735.6423704426098,6.416508017298586,8.232652682013496,lgbm
513,0.0827109602922065,0.0916216390757812,1216.5013069391375,1267.3400499840636,5.678142519056876,6.504109766750648,lgbm
1089,0.0829942206207953,0.1312262353311072,815.2377996842423,1294.6724768510326,6.098805122034618,10.16651773833399,lgbm
771,0.0832125947550107,0.1116139122590249,625.5170323611063,749.6771691382122,6.573910342437493,8.695893465736738,lgbm
229,0.0832483338610224,0.1367767631813868,724.080639645804,1196.947915446752,6.645998489065924,11.09753827796584,lgbm
827,0.0832592735595254,0.0862555958130546,1380.4945186090656,1401.4603597921275,6.676290110701226,7.030411571592504,lgbm
742,0.0837399644251347,0.1407118005859956,618.0169804041078,1059.219180686718,5.477354979808091,10.626104344624348,lgbm
949,0.0838455155325395,0.1181916133506192,420.8323003822174,581.756178137485,6.7707773407605645,9.151262008817962,lgbm
858,0.0840824827924311,0.1102129355535477,420.92449360327527,513.5140155767566,7.112891938904266,8.246733704509282,lgbm
73,0.0842763462693275,0.0888509529880439,402.1033609169137,456.83998880223874,7.1877259019357735,7.044891979585871,lgbm
274,0.0844169241469269,0.2139465214761615,527.3462621670304,1339.26743630051,6.850253147864114,18.99024340309045,lgbm
945,0.0848246877832495,0.1166267043897291,362.2766933860564,497.4799352503925,7.435147521681965,9.619540186694094,lgbm
31,0.0850333252153172,0.099023236449773,483.46957918673127,592.9438622317834,6.9025027056797414,7.9114841331612995,lgbm
787,0.0851596780485732,0.1018952012746418,866.6714482587254,1027.603533075449,6.834181438939541,8.102901561567899,lgbm
320,0.0852137428782468,0.1096222084217145,1170.1832195000425,1659.4543741111056,6.7328352330047245,9.540420505537991,lgbm
726,0.0852348814629502,0.10318854861159,862.644692537431,1136.226185550427,6.970255007645718,8.32775155421595,lgbm
107,0.0852885905332207,0.0977653423868698,668.9762660453214,759.31328813174,6.635747055497313,7.76055692817636,lgbm
807,0.0853119871778001,0.1089684009260978,812.9317225228649,968.6100845217712,6.712736216474596,7.833565573425445,lgbm
855,0.0854188217035491,0.1162890427500529,552.5492004716125,745.9837008961126,6.906629543753949,9.488567710811944,lgbm
152,0.085446619911982,0.1253303438528518,433.18852966393945,654.6673953492054,6.6677701988277205,10.19891093783219,lgbm
297,0.0855159095203186,0.1098811630812023,646.0097688798135,744.4836402797966,7.391621105003653,8.603716378117507,lgbm
119,0.0856137388967008,0.1209227803603331,473.176405925499,670.9387429668293,6.911609470651911,8.977246350003723,lgbm
950,0.0857484670948885,0.1174963262142893,504.5020414953339,672.4382795451652,7.163249268357452,9.69004084209312,lgbm
588,0.0857842337369891,0.0985843397882485,511.99857738792264,609.7940923626079,6.341431092588596,7.9133499340488465,lgbm
998,0.0859120554638911,0.094983176049615,385.3157166062368,450.8545951137856,6.967861368031501,7.671333777406172,lgbm
664,0.085935087450859,0.1249693707209069,438.72286404635054,686.891656666899,7.094450040333398,10.536643795415284,lgbm
178,0.0860712498115298,0.1027590397788752,812.7161972186603,985.4588452643892,6.5089691457347225,8.189788004544237,lgbm
744,0.086073240900855,0.1093906289940006,719.3765946907035,875.5007882667879,7.3102190480302625,8.79311126662167,lgbm
727,0.0861284053125606,0.103407067866852,424.88731243002104,452.85534751016166,7.180939993012478,8.224364183682868,lgbm
670,0.0862544653895233,0.1336726126664997,609.8838393279077,823.7094407259813,7.244434941432118,10.406651489338268,lgbm
974,0.086265426382477,0.0935780851805678,1032.9168655070457,1185.045379555182,6.599888160898831,7.1307549905332115,lgbm
1080,0.0863277474969173,0.0897859790356685,964.0826323170902,1066.3314394411525,6.603034119476718,6.631739411374602,lgbm
889,0.0863413360229445,0.1242565947794477,335.7924592777469,452.0898525968007,7.219059981984345,9.222830692387534,lgbm
404,0.086412614574446,0.0963775814646387,431.9001070742862,532.4554408332119,6.453024333699956,8.328381138008762,lgbm
892,0.0864995413948937,0.1331720633755435,607.4918179931561,919.5963050295468,6.991823042385474,10.536895353958824,lgbm
337,0.0865384898020292,0.0909105327363709,477.051359170256,528.456165570838,7.1751161603693605,7.085150424588764,lgbm
282,0.0867492611959603,0.0974895608598607,383.3116608064137,445.3327197451187,7.474396766815445,8.094793120131905,lgbm
569,0.0868791666608268,0.0793399215447273,396.50698359004934,348.5659435974417,6.647671371785896,6.804139688413155,prophet
1025,0.0871391507682736,0.0815380676883473,644.9429113726778,625.7619202486256,6.948730994273132,7.039080683862103,prophet
142,0.0871686432562742,0.112122701817663,375.8973048695896,456.7374369403884,6.992854359351893,9.516009296803713,lgbm
667,0.0872802442819612,0.0972370881577879,701.0712901585006,854.5430865047291,6.765450263540772,7.820668291862481,lgbm
252,0.0873320909438872,0.1247019684687256,830.2368311482318,1282.0121934503009,6.152584717285422,9.295831566941464,lgbm
168,0.0874922706764885,0.120837953894901,652.0129096474025,877.7098711803541,6.421941252541888,9.70884689370142,lgbm
172,0.0877203699420035,0.0708257494108284,597.3297365523993,501.0458736799811,6.526148053767282,6.16355553483241,prophet
382,0.0877582094383242,0.1102314752484028,674.3704585265732,831.2310418886785,6.964587709024399,9.20933808420586,lgbm
1033,0.0878322419403768,0.099995126885963,1044.7378707915088,1177.045935320709,6.086572925106923,7.453734179690949,lgbm
358,0.0879149010459596,0.1440256735479577,793.4858904564817,1290.8422164732517,6.254303655328542,10.96062599559978,lgbm
423,0.087928258227901,0.0711556860488086,1175.6821193281046,1050.6558705938744,6.632006241939184,5.421868802868895,prophet
390,0.0880366196578171,0.1002105416404638,992.8449375530528,1273.1918190651215,7.3254402447877744,8.265746951158228,lgbm
600,0.0880500827628722,0.1383657650031794,648.0328498458802,1043.2564754385205,7.494147025478297,10.864504612402255,lgbm
875,0.088251823341531,0.1861703721040012,371.3125944285082,790.5640630931022,6.885578554151604,14.794005304918384,lgbm
34,0.088298117476669,0.1045087236998606,695.6166021644141,999.1633368660048,6.890268507870141,8.719280983969337,lgbm
36,0.0887190933208854,0.0941880170685962,925.2526447704864,1052.8059698841694,7.117973699350146,7.7622958674456415,lgbm
309,0.0889476059720298,0.1729727497074629,538.2052831538763,982.1573261673384,6.865957690879459,13.47741738019158,lgbm
464,0.088954147849703,0.1017142822193008,994.4379594825248,1156.9682557887286,7.033170041162245,8.824550400044961,lgbm
546,0.0889547379844031,0.1235683542441563,1274.7183787075112,1840.6605779538477,7.113956124260887,10.439133593677322,lgbm
48,0.0889552667960777,0.1067052007112886,300.74016066815346,382.53059760572415,7.422926584655021,8.313582865863248,lgbm
679,0.0889637650335041,0.095862662598242,787.1073168973569,864.777218333745,6.269806891118675,7.366691944272646,lgbm
146,0.0890957470168767,0.1471117020145513,697.5761006213598,1161.604382378216,7.102035007767203,11.956747503862102,lgbm
491,0.0891513856628599,0.1167475557547619,580.0813659481203,787.5859567417405,7.0381499954560764,10.235386801101116,lgbm
995,0.089240271947137,0.1004567890604892,832.3282356321158,870.2433217793343,7.474438813060304,7.986591613840571,lgbm
1041,0.0894815099669946,0.1078206332678229,573.5054165804023,744.796090530883,6.708641940208852,8.015139821455659,lgbm
450,0.0895833402089776,0.1005329463028722,835.1613786215968,1005.3007508714732,7.281222887317027,7.804733445279388,lgbm
618,0.089644417983024,0.0941861136486132,655.1485883762729,708.9356951897663,7.077122605079522,7.517974219737932,lgbm
261,0.0900732062857628,0.101035477666025,974.141238040214,1188.7859499459523,6.874749214600789,8.237362370276516,lgbm
480,0.0900895514684725,0.1042243903638961,447.6532920591003,508.23507576212745,6.611806905062491,8.121811043635228,lgbm
653,0.090093316859478,0.105506792127603,508.3385660631848,570.1646150625876,6.873365777303203,7.9909950538728385,lgbm
506,0.0903858563808696,0.1435022627229695,701.1195538139541,998.1177868020038,7.356849797420223,11.69005547869214,lgbm
